name,location,price,capacity,rating,reviews,description
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Surrounded by 83 acres of landscaped gardens, offering captivating views of nature's beauty."
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,,,An elegant restaurant wedding venue in the heart of Atlanta's Buckhead neighborhood.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,A restaurant specializing in Italian farm-to-table cuisine with an event space.
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,A boutique hotel featuring stunning architecture and stylish furnishings.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,Offers full-service event planning with outstanding staff for weddings and receptions.
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,An industrial-chic venue perfect for creative couples.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$,251-300 Guests,4.7,132,"Overlooks Piedmont Park, offering indoor and outdoor spaces with seasonal views."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,A unique wedding venue built in 1910 with historic charm.
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"Led by Chef Vincent Marra, offering custom wedding experiences."
Monday Night Brewing: The Garage,"Atlanta, GA",$$,300+ Guests,4.9,14,A charming event space with high ceilings and natural light.
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Offers authentic Southern Italian cuisine in a warm setting.
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,An urban oasis with lush lawns and tropical foliage.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,Elegant venue with unique surroundings near the airport.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,Luxury venue with an elegant ballroom and rooftop access.
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,Luxe venue with modern architecture for dazzling weddings.
Renaissance Atlanta Midtown Hotel,"Midtown Atlanta, GA",$$$,300+ Guests,5,2,"Located in the arts district, perfect for exploring local attractions."
The Trolley Barn,"Atlanta, GA",$$,201-250 Guests,4.2,41,Historic venue with hardwood floors and a patio area.
SCAD Ivy Hall,"Atlanta, GA",$$,101-150 Guests,4.5,4,Historic venue designed by Gottfried L. Norrman.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Award-winning hotel for celebrations.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,Converted warehouse with cathedral ceilings in a creative district.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,1,1,Boutique hotel in Buckhead with access to upscale amenities.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Luxury venue combining elegance with Southern charm.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,Historic mansion with Victorian-era architecture.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,Elegant courthouse with marble courtroom and high ceilings.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,Urban retreat with comfortable and elegant event spaces.
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5,7,Historic estate in Buckhead offering an elegant setting.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,Combines classic charm with modern luxury.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,Unique venue with a legacy in Atlanta's Druid Hills.
