name,speed,range,rating,reviews,price,emi,extra_details
TVS iQube,82 km/Hr,123 km/charge,4.4,483,"Rs 1,11,422 * Onwards","EMI starts from ₹3,226",5 Hr
Bajaj Chetak,63 km/Hr,127 km/charge,4.6,140,"Rs 1,07,400 * Onwards","EMI starts from ₹3,097",N/A
Ather 450X,90 km/Hr,161 km/charge,4.8,74,"Rs 1,47,999 * Onwards","EMI starts from ₹4,273",5.45 Hr
Ather Rizta,80 km/Hr,123 km/charge,4.6,82,"Rs 75,999 * Onwards","EMI starts from ₹2,185",8.3 Hr
Honda Activa e,80 km/Hr,102 km/charge,4.6,95,"Rs 1,18,147 * Onwards","EMI starts from ₹3,410",N/A
Vida VX2,80 km/Hr,142 km/charge,4.8,151,"Rs 44,990 * Onwards","EMI starts from ₹1,317",5.39 Hr
Ola S1 Pro,125 km/Hr,242 km/charge,4.5,69,"Rs 1,02,499 * Onwards","EMI starts from ₹2,972",N/A
TVS Orbiter,68 km/Hr,86 km/charge,4.4,5,"Rs 88,250 * Onwards","EMI starts from ₹2,546",N/A
Ola S1 X,123 km/Hr,242 km/charge,4.7,103,"Rs 49,999 * Onwards","EMI starts from ₹1,446",N/A
Simple One,90 km/Hr,236 km/charge,4.5,1,"Rs 1,69,999 * Onwards","EMI starts from ₹4,915",N/A
Green Udaan,25 km/Hr,60 km/charge,0.0,0,"Rs 24,499 * Onwards",EMI starts from ₹723,4-6 Hr
TVS iQube ST,82 km/Hr,212 km/charge,4.6,28,"Rs 1,61,984 * Onwards","EMI starts from ₹4,690",N/A
TVS iQube S,78 km/Hr,145 km/charge,4.5,21,"Rs 1,39,642 * Onwards","EMI starts from ₹4,036",N/A
Suzuki e Access,71 km/Hr,95 km/charge,3.8,1,"Rs 1,88,490 * Onwards","EMI starts from ₹5,445",6.2 Hr
Ola S1 Z,70 km/Hr,146 km/charge,4.6,41,"Rs 59,999 * Onwards","EMI starts from ₹1,735",N/A
Komaki X One,60 km/Hr,150 km/charge,4.6,192,"Rs 34,999 * Onwards","EMI starts from ₹1,028",4-5 Hr
Ultraviolette Tesseract,125 km/Hr,162 km/charge,4.8,10,"Rs 1,45,000 * Onwards","EMI starts from ₹4,176",N/A
Yakuza Rubie,25 km/Hr,55 km/charge,4.7,5,"Rs 35,280 * Onwards","EMI starts from ₹1,005",6-8 Hr
Bajaj Chetak C2501,55 km/Hr,113 km/charge,4.1,2,"Rs 91,399 * Onwards","EMI starts from ₹2,647",3.45 Hr
Vida V2,90 km/Hr,165 km/charge,4.8,85,"Rs 1,20,300 * Onwards","EMI starts from ₹3,479",N/A
Yamaha EC-06,79 km/Hr,169 km/charge,0.0,0,"Rs 1,67,600 * Onwards","EMI starts from ₹4,838",10 Hr
Kinetic Green E Luna,50 km/Hr,105 km/charge,3.9,75,"Rs 69,990 * Onwards","EMI starts from ₹2,024",5 Hr
River Indie,90 km/Hr,163 km/charge,4.4,54,"Rs 1,45,999 * Onwards","EMI starts from ₹4,209",8 Hr
AMO Electric Jaunty-3W,25 km/Hr,75-100 km/charge,4.6,10,"Rs 81,669 * Onwards","EMI starts from ₹2,367",6 Hr
Hero Electric Optima,48 km/Hr,89 km/charge,4.1,129,"Rs 83,300 * Onwards","EMI starts from ₹2,419",4.5 Hr
Ampere Magnus Grand,65 km/Hr,85 km/charge,4.8,4,"Rs 89,999 * Onwards","EMI starts from ₹2,602",6 Hr
Ather 450S,90 km/Hr,122 km/charge,4.6,3,"Rs 84,341 * Onwards","EMI starts from ₹2,453",N/A
Yulu Wynn,25 km/Hr,68 km/charge,4.6,54,"Rs 55,555 * Onwards","EMI starts from ₹1,592",N/A
Komaki XR7,55 km/Hr,322 km/charge,4.9,6,"Rs 89,999 * Onwards","EMI starts from ₹2,602",N/A
Ola S1 X Plus,125 km/Hr,242 km/charge,4.6,5,"Rs 1,02,499 * Onwards","EMI starts from ₹2,972",N/A
Ola S1 Pro Sport,141 km/Hr,320 km/charge,5.0,3,"Rs 1,49,999 * Onwards","EMI starts from ₹4,337",8.4 Hr
Ather 450 Apex,100 km/Hr,157 km/charge,4.8,5,"Rs 1,89,946 * Onwards","EMI starts from ₹5,492",5.45 Hr
Komaki XGT CAT 2.0,65 km/Hr,120 km/charge,4.5,8,"Rs 74,999 * Onwards","EMI starts from ₹2,185",3-4 Hr
Zelio Eeva,90-100 km/charge,N/A,4.7,4,"Rs 50,000 * Onwards","EMI starts from ₹1,446",N/A
Ola S1 Pro Plus,141 km/Hr,320 km/charge,4.7,23,"Rs 1,24,999 * Onwards","EMI starts from ₹3,630",N/A
Hero Electric Flash,25 km/Hr,85 km/charge,4.0,32,"Rs 59,640 * Onwards","EMI starts from ₹1,723",4-5 Hr
Ampere Nexus,93 km/Hr,100 km/charge,4.2,21,"Rs 1,19,900 * Onwards","EMI starts from ₹3,466",3.3 Hr
BGauss Max C12,60 km/Hr,123 km/charge,3.9,37,"Rs 1,04,740 * Onwards","EMI starts from ₹3,044",6.15-6.3 Hr
Yakuza Neu,25 km/Hr,55 km/charge,5.0,2,"Rs 36,960 * Onwards","EMI starts from ₹1,059",6-8 Hr
Ampere Magnus G Max,65 km/Hr,110 km/charge,4.9,3,"Rs 99,999 * Onwards","EMI starts from ₹2,891",7.25 Hr
Ampere Magnus Neo,65 km/Hr,85 km/charge,4.6,9,"Rs 86,999 * Onwards","EMI starts from ₹2,506",6 Hr
Bounce Infinity E.1,65 km/Hr,70 km/charge,4.2,64,"Rs 55,000 * Onwards","EMI starts from ₹1,574",3-4 Hr
Zelio Gracy i,25 km/Hr,130-140 km/charge,4.3,1,"Rs 54,000 * Onwards","EMI starts from ₹1,574",7-8 Hr
TVS X,105 km/Hr,140 km/charge,4.2,60,"Rs 2,63,880 * Onwards","EMI starts from ₹7,237",4 Hr
Green Sunny,25 km/Hr,60 km/charge,0.0,0,"Rs 26,499 * Onwards",EMI starts from ₹755,4-6 Hr
Okinawa PraisePro,56 km/Hr,81 km/charge,3.8,92,"Rs 84,443 * Onwards","EMI starts from ₹2,456",2-3 Hr
Ampere Reo,25 km/Hr,80 km/charge,4.4,16,"Rs 59,900 * Onwards","EMI starts from ₹1,732",5.3 Hr
Zelio X Men 2.0,25 km/Hr,100 km/charge,4.7,8,"Rs 69,499 * Onwards","EMI starts from ₹2,008",4-5 Hr
Sokudo Acute,70 km/Hr,150 km/charge,5.0,2,"Rs 1,11,889 * Onwards","EMI starts from ₹3,241",4-5 Hr
Warivo Nova,25 km/Hr,60 km/charge,4.0,1,"Rs 55,999 * Onwards","EMI starts from ₹1,606",N/A
Kinetic DX EV,80 km/Hr,102 km/charge,5.0,1,"Rs 1,11,499 * Onwards","EMI starts from ₹3,229",4 Hr
Lectrix NDuro,65 km/Hr,117 km/charge,4.4,9,"Rs 59,999 * Onwards","EMI starts from ₹1,735",N/A
Lectrix EV ZYRO,85 km/charge,N/A,4.0,1,"Rs 46,999 * Onwards","EMI starts from ₹1,349",N/A
Tunwal Mini Lithino,25 km/Hr,50-55 km/charge,4.4,8,"Rs 41,222 * Onwards","EMI starts from ₹1,196",7-8 Hr
Honda QC1,50 km/Hr,80 km/charge,4.1,7,"Rs 90,022 * Onwards","EMI starts from ₹2,603",6.5 Hr
Hero Electric Atria,25 km/Hr,85 km/charge,4.2,36,"Rs 77,690 * Onwards","EMI starts from ₹2,239",4-5 Hr
Tunwal Strom Advance 2,25 km/Hr,50-60 km/charge,5.0,1,"Rs 1,49,133 * Onwards","EMI starts from ₹4,309",4-5 Hr
Ozotec Flio,70 km/Hr,120 km/charge,3.1,2,"Rs 79,990 * Onwards","EMI starts from ₹2,313",6 Hr
